رقم_الطلب,تاريخ_التقديم,تاريخ_الإغلاق,الحي,نوع_الخدمة,التصنيف,قناة_التقديم,الحالة,مدة_المعالجة_أيام,تقييم_الرضا,موسم_ذروة
MKC-2023713,2024-10-03,2024-10-21,الزاهر,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مقبول ومنفذ,18.0,4.0,لا
MKC-2027023,2024-10-03,2024-10-05,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,3.0,لا
MKC-2025619,2024-10-03,2024-10-16,بطحاء قريش,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,13.0,3.0,لا
MKC-2026457,2024-10-03,2024-10-06,الرصيفة,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,4.0,لا
MKC-2024758,2024-10-04,2024-10-09,الشوقية,تجديد رخصة تجارية,طلب ترخيص,حساب X (تويتر),مرفوض,5.0,,لا
MKC-2024388,2024-10-04,2024-11-04,الجميزة,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,31.0,5.0,لا
MKC-2023602,2024-10-04,2024-11-12,الششة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,39.0,3.0,لا
MKC-2028675,2024-10-04,2024-10-28,الرصيفة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,24.0,,لا
MKC-2028706,2024-10-05,2024-10-11,النسيم,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,6.0,3.0,لا
MKC-2024912,2024-10-05,2024-11-09,الحجون,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,35.0,3.0,لا
MKC-2028354,2024-10-05,2024-10-14,بطحاء قريش,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,9.0,3.0,لا
MKC-2026562,2024-10-05,2024-10-09,أجياد,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,3.0,لا
MKC-2023865,2024-10-05,2024-11-14,الكعكية,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مرفوض,40.0,,لا
MKC-2024851,2024-10-06,2024-10-21,جرول,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,15.0,4.0,لا
MKC-2027099,2024-10-06,2024-11-03,أجياد,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,28.0,3.0,لا
MKC-2024954,2024-10-06,2024-10-25,الحجون,شكوى مركبات مهملة,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,19.0,4.0,لا
MKC-2027470,2024-10-06,2024-10-09,الهجرة,شكوى نظافة عامة,شكوى,تطبيق بلدي,مقبول ومنفذ,3.0,4.0,لا
MKC-2027029,2024-10-06,2024-10-22,الشوقية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مرفوض,16.0,,لا
MKC-2028728,2024-10-07,2024-10-16,الحجون,شكوى مركبات مهملة,شكوى,المركز الموحد 940,مغلق - تم الحل,9.0,5.0,لا
MKC-2024033,2024-10-07,2024-10-16,النسيم,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,9.0,5.0,لا
MKC-2026731,2024-10-07,2024-10-10,الشوقية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,4.0,لا
MKC-2024874,2024-10-07,2024-10-09,العزيزية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,5.0,لا
MKC-2023553,2024-10-07,2024-10-31,الشوقية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,قيد المعالجة,24.0,,لا
MKC-2026075,2024-10-07,2024-10-19,أجياد,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,12.0,4.0,لا
MKC-2024648,2024-10-08,2024-10-10,الشوقية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,4.0,لا
MKC-2028993,2024-10-08,2024-10-24,النوارية,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,16.0,,لا
MKC-2028797,2024-10-08,2024-11-14,الرصيفة,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,37.0,2.0,لا
MKC-2027156,2024-10-08,2024-10-14,العتيبية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,6.0,,لا
MKC-2027104,2024-10-08,2024-10-10,الرصيفة,شكوى باعة متجولين,شكوى,حساب X (تويتر),مغلق - تم الحل,2.0,4.0,لا
MKC-2026403,2024-10-08,2024-10-12,النوارية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,4.0,لا
MKC-2024563,2024-10-09,2024-10-15,أجياد,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,6.0,,لا
MKC-2027129,2024-10-09,2024-10-15,بطحاء قريش,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,6.0,4.0,لا
MKC-2023694,2024-10-09,2024-10-28,الرصيفة,شكوى مركبات مهملة,شكوى,المركز الموحد 940,مغلق - تم الحل,19.0,3.0,لا
MKC-2027829,2024-10-09,2024-10-24,المسفلة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,15.0,,لا
MKC-2026661,2024-10-09,2024-10-23,الشوقية,ترخيص بناء,طلب ترخيص,حساب X (تويتر),مرفوض,14.0,,لا
MKC-2026477,2024-10-09,,الحجون,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,قيد المعالجة,,,لا
MKC-2023100,2024-10-09,2024-10-24,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,15.0,4.0,لا
MKC-2025256,2024-10-10,2024-10-30,المسفلة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,20.0,,لا
MKC-2027286,2024-10-10,2024-10-29,الشوقية,شكوى مركبات مهملة,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,19.0,3.0,لا
MKC-2027734,2024-10-10,,النسيم,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2027068,2024-10-10,2024-11-15,العزيزية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مرفوض,36.0,,لا
MKC-2026929,2024-10-10,2024-10-18,الهجرة,طلب صيانة حديقة/ملعب,طلب صيانة,حساب X (تويتر),مرفوض,8.0,,لا
MKC-2024056,2024-10-10,2024-10-14,الشرائع,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,4.0,4.0,لا
MKC-2023576,2024-10-10,2024-10-12,العزيزية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مرفوض,2.0,,لا
MKC-2024794,2024-10-10,2024-10-16,الزاهر,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,6.0,,لا
MKC-2028213,2024-10-11,2024-10-31,العتيبية,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,20.0,3.0,لا
MKC-2028761,2024-10-11,2024-11-02,المسفلة,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,مرفوض,22.0,,لا
MKC-2023419,2024-10-11,2024-10-13,جرول,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,2.0,,لا
MKC-2027980,2024-10-11,2024-10-22,الششة,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,11.0,4.0,لا
MKC-2028603,2024-10-11,2024-10-19,الهجرة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,8.0,3.0,لا
MKC-2025524,2024-10-12,,بطحاء قريش,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2028656,2024-10-12,2024-10-26,الرصيفة,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,14.0,3.0,لا
MKC-2027443,2024-10-12,2024-11-23,جرول,ترخيص بناء,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,42.0,4.0,لا
MKC-2024446,2024-10-12,2024-10-14,النوارية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,2.0,4.0,لا
MKC-2025595,2024-10-13,2024-11-07,الششة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مغلق - تم الحل,25.0,4.0,لا
MKC-2025526,2024-10-13,2024-10-22,الشوقية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,9.0,5.0,لا
MKC-2024600,2024-10-13,2024-10-31,الشوقية,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,مرفوض,18.0,,لا
MKC-2025953,2024-10-13,2024-10-27,بطحاء قريش,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مقبول ومنفذ,14.0,3.0,لا
MKC-2027587,2024-10-13,2024-11-03,بطحاء قريش,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,21.0,3.0,لا
MKC-2028350,2024-10-13,2024-10-21,الششة,شكوى إشغال طريق,شكوى,حساب X (تويتر),مغلق - تم الحل,8.0,4.0,لا
MKC-2023853,2024-10-13,2024-10-20,الشوقية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مغلق - تم الحل,7.0,4.0,لا
MKC-2024691,2024-10-13,2024-10-31,بطحاء قريش,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مرفوض,18.0,,لا
MKC-2024081,2024-10-13,2024-11-09,النسيم,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,27.0,3.0,لا
MKC-2028485,2024-10-13,2024-10-23,النوارية,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,10.0,2.0,لا
MKC-2026881,2024-10-14,2024-10-20,النسيم,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,6.0,5.0,لا
MKC-2027979,2024-10-14,2024-10-17,بطحاء قريش,شكوى صرف صحي,شكوى,تطبيق بلدي,مرفوض,3.0,,لا
MKC-2028738,2024-10-14,2024-10-30,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,16.0,3.0,لا
MKC-2025959,2024-10-14,2024-10-25,الحجون,طلب صيانة حديقة/ملعب,طلب صيانة,مكتب خدمة العملاء,مقبول ومنفذ,11.0,3.0,لا
MKC-2024397,2024-10-15,2024-10-25,النسيم,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مغلق - تم الحل,10.0,5.0,لا
MKC-2028231,2024-10-15,2024-10-29,جرول,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,14.0,3.0,لا
MKC-2028525,2024-10-15,2024-10-20,الشوقية,شكوى صرف صحي,شكوى,حساب X (تويتر),مقبول ومنفذ,5.0,4.0,لا
MKC-2026584,2024-10-15,2024-11-01,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,17.0,4.0,لا
MKC-2023676,2024-10-15,2024-10-29,العتيبية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,14.0,3.0,لا
MKC-2028596,2024-10-15,2024-10-19,العزيزية,شكوى مركبات مهملة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,4.0,2.0,لا
MKC-2027385,2024-10-15,2024-11-01,الكعكية,شكوى مخالفة بناء,شكوى,مكتب فرعي بالحي,مقبول ومنفذ,17.0,3.0,لا
MKC-2026377,2024-10-15,2024-10-21,المسفلة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,6.0,4.0,لا
MKC-2027108,2024-10-15,2024-10-18,الحجون,شكوى إشغال طريق,شكوى,المركز الموحد 940,محول لجهة أخرى,3.0,,لا
MKC-2028128,2024-10-16,2024-10-20,جرول,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,4.0,لا
MKC-2023161,2024-10-16,2024-10-29,العتيبية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,13.0,2.0,لا
MKC-2023973,2024-10-16,2024-10-19,الهجرة,شكوى باعة متجولين,شكوى,المركز الموحد 940,مرفوض,3.0,,لا
MKC-2027782,2024-10-16,2024-10-21,بطحاء قريش,تجديد رخصة تجارية,طلب ترخيص,مكتب فرعي بالحي,محول لجهة أخرى,5.0,,لا
MKC-2027731,2024-10-16,,الرصيفة,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,قيد المعالجة,,,لا
MKC-2026202,2024-10-16,2024-11-07,العتيبية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مقبول ومنفذ,22.0,4.0,لا
MKC-2023320,2024-10-16,2024-10-23,جرول,ترخيص لافتات إعلانية,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,7.0,4.0,لا
MKC-2026091,2024-10-16,2024-11-10,العزيزية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,25.0,4.0,لا
MKC-2026158,2024-10-16,2024-10-22,الشرائع,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,6.0,4.0,لا
MKC-2027661,2024-10-16,2024-10-20,الجميزة,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2028317,2024-10-17,2024-10-22,بطحاء قريش,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,4.0,لا
MKC-2023584,2024-10-17,2024-10-20,جرول,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,3.0,3.0,لا
MKC-2028268,2024-10-17,2024-11-12,الششة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,26.0,4.0,لا
MKC-2024664,2024-10-17,2024-10-28,الزاهر,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,11.0,4.0,لا
MKC-2024700,2024-10-17,2024-11-02,العزيزية,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مغلق - تم الحل,16.0,4.0,لا
MKC-2025761,2024-10-18,2024-10-27,بطحاء قريش,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,9.0,,لا
MKC-2027646,2024-10-18,2024-10-21,جرول,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,3.0,4.0,لا
MKC-2023764,2024-10-18,2024-10-20,بطحاء قريش,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,2.0,5.0,لا
MKC-2026048,2024-10-18,2024-11-13,جرول,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,محول لجهة أخرى,26.0,,لا
MKC-2023401,2024-10-18,2024-10-22,الشرائع,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مرفوض,4.0,,لا
MKC-2023781,2024-10-18,2024-11-08,الشرائع,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,21.0,4.0,لا
MKC-2026089,2024-10-18,2024-10-22,النوارية,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2026514,2024-10-18,2024-10-28,العتيبية,طلب صيانة حديقة/ملعب,طلب صيانة,حساب X (تويتر),محول لجهة أخرى,10.0,,لا
MKC-2027184,2024-10-18,2024-10-20,العزيزية,شكوى نظافة عامة,شكوى,حساب X (تويتر),مغلق - تم الحل,2.0,4.0,لا
MKC-2026242,2024-10-19,2024-10-28,الشوقية,تجديد رخصة تجارية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,9.0,4.0,لا
MKC-2028020,2024-10-19,2024-10-23,بطحاء قريش,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2025319,2024-10-19,2024-10-29,الرصيفة,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,10.0,3.0,لا
MKC-2027988,2024-10-19,2024-10-26,الهجرة,تجديد رخصة تجارية,طلب ترخيص,مكتب فرعي بالحي,محول لجهة أخرى,7.0,,لا
MKC-2027406,2024-10-19,2024-11-04,الزاهر,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,16.0,2.0,لا
MKC-2023264,2024-10-20,2024-10-25,أجياد,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,4.0,لا
MKC-2028327,2024-10-20,2024-10-29,الحجون,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,9.0,,لا
MKC-2023985,2024-10-20,2024-10-31,الرصيفة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مرفوض,11.0,,لا
MKC-2027329,2024-10-20,2024-10-21,الكعكية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,1.0,4.0,لا
MKC-2023502,2024-10-20,2024-10-31,الزاهر,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,مرفوض,11.0,,لا
MKC-2027918,2024-10-20,2024-10-25,الرصيفة,شكوى باعة متجولين,شكوى,المركز الموحد 940,محول لجهة أخرى,5.0,,لا
MKC-2024828,2024-10-21,2024-10-25,أجياد,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,4.0,4.0,لا
MKC-2024759,2024-10-21,2024-10-24,العتيبية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,4.0,لا
MKC-2028064,2024-10-21,2024-10-25,العزيزية,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,4.0,5.0,لا
MKC-2027762,2024-10-21,2024-10-22,العزيزية,شكوى نظافة عامة,شكوى,حساب X (تويتر),محول لجهة أخرى,1.0,,لا
MKC-2026382,2024-10-21,2024-11-11,أجياد,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,21.0,4.0,لا
MKC-2024006,2024-10-21,2024-10-24,الشوقية,تجديد رخصة تجارية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,3.0,5.0,لا
MKC-2025214,2024-10-21,2024-10-29,بطحاء قريش,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مرفوض,8.0,,لا
MKC-2024637,2024-10-22,2024-11-13,المسفلة,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,22.0,5.0,لا
MKC-2025819,2024-10-22,2024-10-25,العتيبية,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,محول لجهة أخرى,3.0,,لا
MKC-2026923,2024-10-22,2024-11-13,جرول,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,22.0,3.0,لا
MKC-2025908,2024-10-22,2024-11-13,العتيبية,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,22.0,3.0,لا
MKC-2027085,2024-10-22,2024-10-26,النسيم,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2027601,2024-10-22,,النوارية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2026201,2024-10-22,2024-11-06,العزيزية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,15.0,4.0,لا
MKC-2025493,2024-10-22,2024-10-27,الشرائع,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,5.0,لا
MKC-2024311,2024-10-23,,الرصيفة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2026428,2024-10-23,2024-10-25,بطحاء قريش,شكوى باعة متجولين,شكوى,حساب X (تويتر),مرفوض,2.0,,لا
MKC-2027754,2024-10-23,2024-10-25,الرصيفة,شكوى باعة متجولين,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,2.0,,لا
MKC-2023994,2024-10-23,2024-11-07,الشرائع,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,15.0,3.0,لا
MKC-2026041,2024-10-23,2024-11-20,الزاهر,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,28.0,4.0,لا
MKC-2024082,2024-10-23,2024-10-29,الششة,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,6.0,,لا
MKC-2023292,2024-10-24,2024-11-12,النوارية,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مقبول ومنفذ,19.0,3.0,لا
MKC-2023225,2024-10-24,2024-11-10,العتيبية,طلب صيانة حديقة/ملعب,طلب صيانة,مكتب فرعي بالحي,مقبول ومنفذ,17.0,3.0,لا
MKC-2027043,2024-10-24,2024-11-16,أجياد,طلب صيانة حديقة/ملعب,طلب صيانة,مكتب فرعي بالحي,مقبول ومنفذ,23.0,3.0,لا
MKC-2023630,2024-10-24,2024-11-20,الزاهر,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,27.0,,لا
MKC-2024949,2024-10-24,2024-10-29,المسفلة,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,5.0,4.0,لا
MKC-2026894,2024-10-24,2024-10-29,بطحاء قريش,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,4.0,لا
MKC-2023131,2024-10-24,2024-10-27,جرول,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,3.0,5.0,لا
MKC-2024945,2024-10-25,2024-11-03,أجياد,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,9.0,,لا
MKC-2023011,2024-10-25,,الششة,ترخيص بناء,طلب ترخيص,حساب X (تويتر),قيد المعالجة,,,لا
MKC-2025579,2024-10-25,2024-10-31,المسفلة,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,6.0,4.0,لا
MKC-2028115,2024-10-25,2024-10-30,النوارية,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,5.0,,لا
MKC-2026557,2024-10-25,2024-11-05,الشوقية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مرفوض,11.0,,لا
MKC-2024284,2024-10-25,2024-11-18,الزاهر,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,24.0,3.0,لا
MKC-2024985,2024-10-25,2024-10-30,النسيم,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,4.0,لا
MKC-2026395,2024-10-26,2024-11-18,العزيزية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,23.0,,لا
MKC-2023218,2024-10-26,2024-10-28,العزيزية,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,2.0,5.0,لا
MKC-2025655,2024-10-26,2024-10-31,العزيزية,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,5.0,3.0,لا
MKC-2028428,2024-10-26,2024-10-31,الزاهر,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,5.0,4.0,لا
MKC-2023430,2024-10-26,2024-10-29,العزيزية,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مرفوض,3.0,,لا
MKC-2023590,2024-10-26,2024-11-06,الششة,شكوى صرف صحي,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,11.0,,لا
MKC-2026758,2024-10-26,2024-10-30,العزيزية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,4.0,4.0,لا
MKC-2024305,2024-10-26,2024-11-02,الحجون,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مرفوض,7.0,,لا
MKC-2025115,2024-10-26,2024-10-29,الجميزة,شكوى صرف صحي,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,3.0,3.0,لا
MKC-2026785,2024-10-26,2024-11-01,النوارية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مرفوض,6.0,,لا
MKC-2025133,2024-10-27,2024-11-13,الحجون,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,17.0,5.0,لا
MKC-2028355,2024-10-27,2024-11-06,العزيزية,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,10.0,4.0,لا
MKC-2026204,2024-10-27,2024-11-05,العتيبية,شكوى صرف صحي,شكوى,حساب X (تويتر),محول لجهة أخرى,9.0,,لا
MKC-2026888,2024-10-27,2024-11-02,الشرائع,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,6.0,4.0,لا
MKC-2024820,2024-10-27,2024-10-30,أجياد,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,3.0,,لا
MKC-2024249,2024-10-28,2024-11-19,الجميزة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,قيد المعالجة,22.0,,لا
MKC-2027012,2024-10-28,2024-11-01,جرول,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مرفوض,4.0,,لا
MKC-2028207,2024-10-28,2024-11-13,الششة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,16.0,,لا
MKC-2028560,2024-10-28,2024-11-04,الشرائع,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,7.0,4.0,لا
MKC-2024947,2024-10-28,2024-11-07,الكعكية,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,10.0,,لا
MKC-2028143,2024-10-28,2024-11-11,الشوقية,شكوى مركبات مهملة,شكوى,تطبيق بلدي,مغلق - تم الحل,14.0,4.0,لا
MKC-2025189,2024-10-28,2024-12-03,العتيبية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,36.0,3.0,لا
MKC-2025145,2024-10-28,2024-11-02,العزيزية,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,5.0,,لا
MKC-2024556,2024-10-28,2024-10-31,الرصيفة,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,3.0,4.0,لا
MKC-2025217,2024-10-28,2024-10-29,العزيزية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,1.0,5.0,لا
MKC-2025043,2024-10-28,2024-11-24,الششة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,27.0,,لا
MKC-2023757,2024-10-29,2024-11-12,الشوقية,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,14.0,3.0,لا
MKC-2025973,2024-10-29,2024-11-03,النسيم,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,5.0,لا
MKC-2024430,2024-10-29,2024-11-06,الشرائع,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,8.0,4.0,لا
MKC-2025065,2024-10-29,2024-11-03,جرول,ترخيص لافتات إعلانية,طلب ترخيص,مكتب خدمة العملاء,محول لجهة أخرى,5.0,,لا
MKC-2028389,2024-10-29,2024-11-08,النسيم,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,10.0,4.0,لا
MKC-2025868,2024-10-29,2024-11-19,جرول,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,21.0,4.0,لا
MKC-2026478,2024-10-30,2024-11-12,النوارية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,13.0,3.0,لا
